N359;Actes d’état civil;
N31784;Livret de famille;
N31778;Changement d’état civil;
N358;Carte d’identité;
N360;Passeport;
N151;Nom et prénom;
N365;Certificat, copie, légalisation et conservation de documents;
N30;Anciens combattants;
N47;Élections;
N23501;Médailles et décorations officielles;
N24;Recensement, JDC et service national;
N13271;Volontariats;
N559;Obligations de l’administration;
N20312;Recours administratif, défenseur des droits, ...;
N560;Agir en justice contre l’administration;
N31725;Mesures contraignantes de l’administration;
N31786;Fichiers de police judiciaire;
N31727;Protection de l’image;
N20053;Protection des données personnelles;
N31801;Tech;
N111;Nationalité française;
N110;Titres, carte de séjour et documents de circulation pour étranger en France;
N367;Carte grise (certificat d’immatriculation);
N530;Permis de conduire;
N143;Union libre;
N144;Pacte civil de solidarité (Pacs);
N142;Mariage;
N159;Divorce, séparation de corps;
N133;Adoption;
N15660;Naissance;
N135;Autorité parentale;
N156;Allocations destinées aux familles;
N137;Garde d’enfants en bas âge;
N546;Centre de loisirs, colonies de vacances, garderie...;
N18775;Séparation des parents;
N136;Placement d’un enfant;
N23493;Obligation scolaire;
N54;École primaire (maternelle et élémentaire);
N56;Collège et lycée;
N67;Aides financières pour la scolarité;
N57;École et handicap;
N10481;Diplômes;
N175;Parcours éducatifs alternatifs;
N31347;Scolarité en France d’un enfant arrivant de l’étranger;
N23767;Scolarité à l’étranger d’un enfant français;
N58;Inscription;
N20398;Aides et bourses;
N23482;Formations et diplômes;
N31346;Étudiant étranger en France;
N13511;Étudier à l’étranger;
N155;Protection juridique (tutelle, curatelle...);
N42;Disparition et enlèvement;
N165;Déclaration de décès, obsèques et sépulture;
N31163;Rentes et capitaux versés en cas de décès;
N378;Pension de réversion;
N31650;Don du corps - Prélèvement d’organes;
N173;Héritage : ordre et droits des héritiers;
N31162;Donation;
N16265;Testament;
N171;Règlement d’une succession;
N19775;Revenu de solidarité active (RSA);
N31477;Prime d’activité;
N392;Allocations et aides aux personnes âgées;
N549;Démarches auprès de Pôle emploi;
N178;Allocation chômage d’aide au retour à l’emploi (ARE);
N31131;Aides à la formation;
N31132;Aides à la création ou la reprise d’entreprise;
N31133;Aides à la reprise d’activité;
N31750;Affiliation;
N418;Remboursement;
N20286;Mutuelle - Complémentaire santé;
N31348;Assurance maladie d’un Étranger en France;
N423;Assurance maladie et santé d’un Français à l’étranger;
N561;Litiges avec la Sécurité sociale;
N17179;Information du patient : dossier médical, montant des prestations, ...;
N10253;Préjudice médical;
N441;Don du sang - Don d’organe d’une personne vivante;
N437;Addictions;
N435;Contraception - IVG;
N439;Grossesse, assistance à la procréation;
N432;Hospitalisation et soins à domicile;
N434;Prévention - Vaccinations;
N31526;Santé de l’enfant;
N12230;Allocations et aides (AAH, AEEH, PCH...);
N332;Hébergement;
N31700;Invalidité;
N17160;Hébergement social;
N333;Hébergement des personnes âgées;
N57;École et handicap;
N451;Handicap et emploi dans le secteur privé;
N449;Dans le secteur privé;
N500;Dans la fonction publique;
N474;Dans le secteur privé;
N511;Dans la fonction publique;
